iter,after_test,test_sec,gap_sec,stale_bs_test
53,bs_test_day19_stress_fail_ci,25.05,0.001,
53,bs_test_attach_day19_shortcoming_regression,5.24,0.001,
53,bs_test_attach_recover_cold,0.06,0.001,
54,bs_test_reload_per_batch_parallel_exec,0.04,0,
54,bs_test_day19_stress_reload_loop,25.04,0,
54,bs_test_day19_stress_fail_ci,25.04,0.001,
54,bs_test_attach_day19_shortcoming_regression,5.07,0.001,
54,bs_test_attach_recover_cold,0.06,0,
55,bs_test_reload_per_batch_parallel_exec,0.04,0,
55,bs_test_day19_stress_reload_loop,25.05,0.001,
55,bs_test_day19_stress_fail_ci,25.04,0,
55,bs_test_attach_day19_shortcoming_regression,6.13,0.002,
55,bs_test_attach_recover_cold,0.06,0.001,
56,bs_test_reload_per_batch_parallel_exec,0.04,0,
56,bs_test_day19_stress_reload_loop,25.05,0.001,
56,bs_test_day19_stress_fail_ci,25.04,0,
56,bs_test_attach_day19_shortcoming_regression,5.59,0.001,
56,bs_test_attach_recover_cold,0.06,0,
57,bs_test_reload_per_batch_parallel_exec,0.04,0,
57,bs_test_day19_stress_reload_loop,25.04,0.001,
57,bs_test_day19_stress_fail_ci,25.05,0,
57,bs_test_attach_day19_shortcoming_regression,5.96,0.001,
57,bs_test_attach_recover_cold,0.06,0,
58,bs_test_reload_per_batch_parallel_exec,0.04,0,
58,bs_test_day19_stress_reload_loop,25.04,0,
58,bs_test_day19_stress_fail_ci,25.05,0.001,
58,bs_test_attach_day19_shortcoming_regression,5.02,0.001,
58,bs_test_attach_recover_cold,0.06,0.001,
59,bs_test_reload_per_batch_parallel_exec,0.04,0,
59,bs_test_day19_stress_reload_loop,25.05,0,
59,bs_test_day19_stress_fail_ci,25.06,0,
59,bs_test_attach_day19_shortcoming_regression,5,0,
59,bs_test_attach_recover_cold,0.07,0.001,
60,bs_test_reload_per_batch_parallel_exec,0.04,0,
60,bs_test_day19_stress_reload_loop,25.05,0,
60,bs_test_day19_stress_fail_ci,25.05,0,
60,bs_test_attach_day19_shortcoming_regression,6.22,0.002,
60,bs_test_attach_recover_cold,0.06,0,
61,bs_test_reload_per_batch_parallel_exec,0.05,0,
61,bs_test_day19_stress_reload_loop,25.05,0,
61,bs_test_day19_stress_fail_ci,25.07,0.001,
61,bs_test_attach_day19_shortcoming_regression,6.38,0.001,
61,bs_test_attach_recover_cold,0.08,0.001,
62,bs_test_reload_per_batch_parallel_exec,0.04,0,
62,bs_test_day19_stress_reload_loop,25.07,0.001,
62,bs_test_day19_stress_fail_ci,25.05,0.004,
62,bs_test_attach_day19_shortcoming_regression,6.65,0,
62,bs_test_attach_recover_cold,0.06,0.001,
63,bs_test_reload_per_batch_parallel_exec,0.04,0,
63,bs_test_day19_stress_reload_loop,25.05,0.001,
63,bs_test_day19_stress_fail_ci,25.04,0.002,
63,bs_test_attach_day19_shortcoming_regression,6.74,0.002,
63,bs_test_attach_recover_cold,0.06,0.002,
64,bs_test_reload_per_batch_parallel_exec,0.04,0,
64,bs_test_day19_stress_reload_loop,25.05,0,
64,bs_test_day19_stress_fail_ci,25.05,0,
64,bs_test_attach_day19_shortcoming_regression,5.98,0.001,
64,bs_test_attach_recover_cold,0.06,0.002,
65,bs_test_reload_per_batch_parallel_exec,0.04,0,
65,bs_test_day19_stress_reload_loop,25.04,0.001,
65,bs_test_day19_stress_fail_ci,25.05,0.001,
65,bs_test_attach_day19_shortcoming_regression,7.32,0.003,
65,bs_test_attach_recover_cold,0.06,0.002,
66,bs_test_reload_per_batch_parallel_exec,0.06,0,
66,bs_test_day19_stress_reload_loop,25.06,0.001,
66,bs_test_day19_stress_fail_ci,25.07,0.001,
66,bs_test_attach_day19_shortcoming_regression,5.62,0.001,
66,bs_test_attach_recover_cold,0.07,0.001,
67,bs_test_reload_per_batch_parallel_exec,0.04,0,
67,bs_test_day19_stress_reload_loop,25.05,0.001,
67,bs_test_day19_stress_fail_ci,25.06,0.001,
67,bs_test_attach_day19_shortcoming_regression,5.46,0,
67,bs_test_attach_recover_cold,0.07,0.001,
68,bs_test_reload_per_batch_parallel_exec,0.04,0,
68,bs_test_day19_stress_reload_loop,25.05,0.002,
68,bs_test_day19_stress_fail_ci,25.05,0.001,
68,bs_test_attach_day19_shortcoming_regression,6.71,0.001,
68,bs_test_attach_recover_cold,0.06,0,
69,bs_test_reload_per_batch_parallel_exec,0.04,0,
69,bs_test_day19_stress_reload_loop,25.05,0.001,
69,bs_test_day19_stress_fail_ci,25.04,0,
69,bs_test_attach_day19_shortcoming_regression,6.59,0.003,
69,bs_test_attach_recover_cold,0.06,0.002,
70,bs_test_reload_per_batch_parallel_exec,0.04,0,
70,bs_test_day19_stress_reload_loop,25.04,0.001,
70,bs_test_day19_stress_fail_ci,25.05,0,
70,bs_test_attach_day19_shortcoming_regression,5.55,0,
70,bs_test_attach_recover_cold,0.06,0,
71,bs_test_reload_per_batch_parallel_exec,0.04,0,
71,bs_test_day19_stress_reload_loop,25.05,0.001,
71,bs_test_day19_stress_fail_ci,25.04,0,
71,bs_test_attach_day19_shortcoming_regression,5.26,0.001,
71,bs_test_attach_recover_cold,0.07,0,
72,bs_test_reload_per_batch_parallel_exec,0.04,0,
72,bs_test_day19_stress_reload_loop,25.05,0,
72,bs_test_day19_stress_fail_ci,25.06,0,
72,bs_test_attach_day19_shortcoming_regression,5.13,0.002,
72,bs_test_attach_recover_cold,0.06,0,
73,bs_test_reload_per_batch_parallel_exec,0.05,0,
73,bs_test_day19_stress_reload_loop,25.08,0.002,
73,bs_test_day19_stress_fail_ci,25.05,0,
73,bs_test_attach_day19_shortcoming_regression,6.05,0.001,
73,bs_test_attach_recover_cold,0.06,0.002,
74,bs_test_reload_per_batch_parallel_exec,0.04,0,
74,bs_test_day19_stress_reload_loop,25.06,0,
74,bs_test_day19_stress_fail_ci,25.05,0.001,
74,bs_test_attach_day19_shortcoming_regression,6.58,0,
74,bs_test_attach_recover_cold,0.08,0.011,
75,bs_test_reload_per_batch_parallel_exec,0.05,0,
75,bs_test_day19_stress_reload_loop,25.05,0.001,
75,bs_test_day19_stress_fail_ci,25.05,0.001,
75,bs_test_attach_day19_shortcoming_regression,6.04,0.001,
75,bs_test_attach_recover_cold,0.07,0,
76,bs_test_reload_per_batch_parallel_exec,0.04,0,
76,bs_test_day19_stress_reload_loop,25.05,0.001,
76,bs_test_day19_stress_fail_ci,25.05,0.002,
76,bs_test_attach_day19_shortcoming_regression,5.57,0.002,
76,bs_test_attach_recover_cold,0.06,0.002,
77,bs_test_reload_per_batch_parallel_exec,0.04,0,
77,bs_test_day19_stress_reload_loop,25.05,0,
77,bs_test_day19_stress_fail_ci,25.05,0.001,
77,bs_test_attach_day19_shortcoming_regression,5.74,0,
77,bs_test_attach_recover_cold,0.06,0,
78,bs_test_reload_per_batch_parallel_exec,0.04,0,
78,bs_test_day19_stress_reload_loop,25.05,0.001,
78,bs_test_day19_stress_fail_ci,25.06,0.001,
78,bs_test_attach_day19_shortcoming_regression,7.25,0.001,
78,bs_test_attach_recover_cold,0.07,0.001,
79,bs_test_reload_per_batch_parallel_exec,0.04,0,
79,bs_test_day19_stress_reload_loop,25.05,0.002,
79,bs_test_day19_stress_fail_ci,25.05,0.001,
79,bs_test_attach_day19_shortcoming_regression,7.05,0.001,
79,bs_test_attach_recover_cold,0.07,0.001,
80,bs_test_reload_per_batch_parallel_exec,0.04,0,
80,bs_test_day19_stress_reload_loop,25.05,0.002,
80,bs_test_day19_stress_fail_ci,25.05,0.001,
80,bs_test_attach_day19_shortcoming_regression,5.2,0,
80,bs_test_attach_recover_cold,0.07,0.001,
81,bs_test_reload_per_batch_parallel_exec,0.04,0,
81,bs_test_day19_stress_reload_loop,25.05,0.001,
